id,prec,tem,ws,wd,hum,press,pm2_5
1100115888,0,16.12,2.1,77.85,66.31,723.39,29.86
1100111158,0,9.69,0.56,225.44,82.09,728.13,27.92
1100124666,0,10.57,1.14,205.74,93.29,724.59,13.69
1100162446,0,15.67,2.17,165.9,48.28,724.4,7.5
1100161363,0.8,12.91,2.12,141.7,86.53,724.4,14.97
1100123980,0,11.75,1.46,19.7,88.34,726.19,23.02
1100155880,0,18.62,2.98,161.76,39.62,720.44,14.11
1100157476,0.4,16.03,1.32,168.12,68.44,724.56,47.27
1100168285,0,13.28,0.93,298.2,71.66,726.8,7.17
1100110133,0,9.71,0.67,328.86,93.04,726.94,11.41
1100170344,0,19.56,3.35,155.7,39.21,726.84,0.07
1100162269,0,19.42,2.23,158,40.67,726.74,5.1
1100154371,0,12.71,2.73,213.12,53.39,721.53,3.84
1100130402,0,15.88,1.56,148.4,67.58,727.68,28.75
1100139190,0,12.46,3.08,199.04,62.44,726.18,7.28
1100125172,0,15.39,1.76,137.52,59.08,725.99,49.23
1100161002,0.2,11.87,1.09,27.8,89.85,725.6,11.59
1100123132,0,11.04,0.73,166.69,86.83,726,16.26
1100118510,0,13.51,1.51,223.98,70.85,724.98,15.54
1100158921,0,11.05,0.72,110.9,97.47,721.51,8.73
110019716,0,15.46,2.78,0,60.03,725.03,11.63
1100146409,0,13.46,2.72,217.56,42.8,727.11,6.48
110014902,0,13.69,3.24,8.07,62.26,725.11,17.8
1100110681,0,11.83,1.29,167,95.94,727.95,25.66
1100128090,0.2,15.28,2.69,0,74.8,727.84,21.66
1100151178,0,13.04,1.11,188.64,85.99,726.18,37.07
1100155430,0,17.38,3.57,60.72,47.41,719.55,19.26
1100152339,0,14.72,2.16,194.04,56.7,721.15,23.75
1100147121,0,12.47,1.25,187.2,65.21,726.18,7.81
1100169679,0,16.37,2.4,352.5,64.05,724.43,6.46
1100136039,0,18.63,3.81,20.8,49.97,724.42,9.83
1100156251,0,12.32,2.57,190.44,63.91,721.26,7.11
1100139142,0,11.33,1.85,207.67,74.97,726.18,12.41
1100128935,0,12.43,1.69,243.29,55.68,726.17,5.75
1100113080,0,16.69,2.84,132.72,39.53,724.57,17.15
1100159759,0,8.43,0.62,284.9,91.54,722.42,13.5
1100136401,0,13.8,1.5,228.1,58.28,726.36,9.67
1100117844,0,15.31,1.43,52.71,70.04,725.58,28.84
1100158964,0.1,11.44,1.49,124.1,96.76,723.38,12.4
1100158954,0,17.37,2.01,103.2,63.23,722.55,33.85
110018796,0,8.94,0.2,172.28,92.66,726.97,4.21
1100117717,0.3,12.24,1.34,109.73,87,727.73,26.6
110015157,0,14.38,1.62,47.28,67.78,728.8,28.93
1100158164,0,12.72,1.28,163.44,80.54,724.01,35.81
110015497,0,9.93,0.9,185.65,84.74,725.12,8.41
1100137624,0,11.45,3.22,225.82,48.09,726.1,2.65
1100171860,0,12.31,1.93,186.3,62.18,726.79,3
11001741,0,15.95,1.4,159.64,59.99,726.34,8.6
1100125193,0,10.88,1.15,149.05,91.72,725.17,11.42
1100162306,0,13,0.88,297.1,72.68,726.8,12.37
1100169945,0,12.84,1.11,151.4,94.24,726.83,17.37
1100114750,0,12.71,2.74,197.69,61.4,725.57,4
1100162592,0,15.08,4.18,180.1,42.93,725.8,5.73
1100111578,0,10.34,1.04,233.76,84.5,726.96,15.1
1100133625,0.1,11.27,0.84,65.2,99.25,722.89,8.57
110014376,0,9.65,1.21,172.69,89.09,726.96,18.23
1100155410,0,13.72,2.36,13.2,66.89,721.47,29.12
1100165768,0,19.24,1.71,109.6,44.63,726.38,23.68
1100132720,0,11.89,1.18,128.26,90.91,726.54,27.82
1100114010,0,10.72,1.21,268.14,62.56,726.16,16.36
1100164952,0,12.19,0.65,266,82.21,724.4,28.32
110013106,0,15.68,3,40.06,69.46,726.99,22.35
